query,bert_topic,is_travel
Which hiking trail would you recommend for beginners?,11_colorado_rockies_trail_mountain,Yes
Can you recommend any accommodations for hikers in Tyrol?,58_swiss_switzerland_alps_geneva,Yes
Can you give me a list of top-rated hiking trails in the Pacific Northwest?,11_colorado_rockies_trail_mountain,Yes
Are there any seasonal events or festivals in Bermuda that tourists should plan their trip around?,20_celebration_carnival_flamenco_parade,Yes
"What are the most accessible restaurants in Arles, in terms of wheelchair accessibility and menu readability for those with hearing impairments?",38_bus_taxi_subway_transit,Yes
What are some lesser-known cultural landmarks in Krasnodar that are worth checking out?,84_verdun_bourges_gentse_toulouse,Yes
"Are there any annual or seasonal events that tend to draw larger crowds to the local market, and what are the best times to attend these events?",12_festival_event_music_attend,Yes
I'm planning a trip to Japan and would like to learn more about the country's traditional customs and etiquette. Could you provide some guidance on appropriate behavior and cultural norms for visitors?,60_japanese_tea_japan_tokyo,Yes
Are there any off-the-beaten-path hikes or trails in Palawan that you would recommend for experienced hikers?,34_waterfall_sahara_desert_cave,Yes
"I want to take my kids on an adventure this summer, but I'm looking for something that won't break the bank. Any recommendations?",68_picnic_zoo_garden_playground,Yes
Please recommend some popular tourist destinations for a budget-friendly vacation.,50_dubai_hotel_lounge_khalifa,Yes
What are the top 5 most popular festivals in your area and what kinds of activities do they entail?,9_orleans_jazz_austin_venue,Yes
What are the most popular museums or historical sites to visit in Hobart?,75_eastbourne_brighton_supertrees_pier,Yes
Can you suggest some offbeat activities to do on a staycation for those who love adventure?,25_hiking_hike_patagonia_summit,Yes
What is the best time of year to visit the national parks in the Western United States?,45_yosemite_dome_mist_valley,Yes
Can you provide a list of the best tourist attractions to visit in France during the winter season?,8_ski_skier_skiing_snowboard,Yes
Can you recommend any museums or art galleries in Telemark that showcase the region's cultural heritage?,28_museum_exhibition_kiel_cathedral,Yes
"What are some safety tips for hikers planning a trek through Patagonia, including recommendations for appropriate gear and emergency preparedness?",34_waterfall_sahara_desert_cave,Yes
Which National Park in the United States is the most visited and what are its main attractions?,35_appalachian_smoky_acadia_camp,Yes
"Are there any outdoor recreational activities that are popular along the Tennessee River, such as hiking trails or fishing spots?",35_appalachian_smoky_acadia_camp,Yes
How do you factor in transportation and accommodation costs when deciding between a beach and an island vacation?,54_airline_travel_delta_loyalty,Yes
What unique cultural events or festivals take place in Johnstone each year and how can we participate?,12_festival_event_music_attend,Yes
How do you go about finding the perfect vacation rental for a family trip?,54_airline_travel_delta_loyalty,Yes
Can you provide information on any upcoming festivals or events that may be of interest to travelers?,16_celebrate_festival_diwali_celebration,Yes
Can you recommend any particular music or performance events that offer unique VIP experiences with their backstage passes?,66_venue_broadway_event_falkland,Yes
Can you suggest any hiking or biking trails in the Kiel area?,37_rental_cycling_cyclist_bicycle,Yes
"What are some off-the-beaten-path activities to do in South America, such as visiting remote indigenous communities or exploring natural wonders?",70_picchu_inca_peru_andes,Yes
What are some specific dining options available at hotels that are not typically offered at hostels?,54_airline_travel_delta_loyalty,Yes
Could you recommend some popular hiking trails or national parks in the western United States?,13_canyon_zion_utah_geological,Yes
What are some lesser-known adventure tourism destinations that you would recommend exploring?,34_waterfall_sahara_desert_cave,Yes
Can you recommend any museums or cultural sites in downtown Indianapolis that are must-see attractions?,28_museum_exhibition_kiel_cathedral,Yes
What steps should I take to prepare for a long backpacking trip?,17_backpack_tent_bag_camp,Yes
I am planning a road trip across the United States and would love some input on the best scenic routes to take and must-see destinations to visit.,30_yellowstone_geyser_bison_geothermal,Yes
Which historical landmarks in Furness are located near the sea and offer scenic views?,63_whale_alaska_penguin_seal,Yes
Is it better to visit New York City during the summer or winter months?,22_vancouver_portland_spokane_orchard,Yes
"If visitors only have time to explore one or two cultural attractions in Accrington, which would you recommend and why?",78_moffat_london_chorley_paddington,Yes
Could you share some tips for traveling solo as a woman in India?,50_dubai_hotel_lounge_khalifa,Yes
How do Cremona's museums and cultural institutions celebrate and showcase the city's violin-making heritage?,10_rome_venice_vatican_basilica,Yes
Can you suggest any day trips or excursions from Westmoreland to nearby cities or towns?,63_whale_alaska_penguin_seal,Yes
"What are some popular National Parks in the United States, and what makes them so special?",30_yellowstone_geyser_bison_geothermal,Yes
Can you recommend any outdoor activities for families with toddlers in the city?,42_zoo_playground_indoor_aquarium,Yes
"Can you provide some tips on how to effectively budget for a vacation, taking into account all expenses?",54_airline_travel_delta_loyalty,Yes
"What are some examples of traditional vacation activities that are particularly expensive, and how could those expenses be avoided with a staycation?",42_zoo_playground_indoor_aquarium,Yes
Can you share some tips on finding the best backpacking routes?,56_compass_kit_hike_hiking,Yes
What is the best time of year to visit Dordogne to experience its unique cultural offerings?,16_celebrate_festival_diwali_celebration,Yes
Can you provide any recommendations for indoor activities or attractions to explore in Adana during less desirable weather conditions?,88_bergamo_cadiz_athens_piraeus,Yes
How can one prepare for a successful kayaking trip and ensure safety on the water?,29_kayak_canoe_kayaking_paddle,Yes
Are there any traditional holiday festivities celebrated in Tyrol that we should know about?,82_christmas_berlin_salzburg_munich,Yes
Can you recommend any specific restaurants or cafes in Kilburn that are popular with tourists?,72_savannah_chicago_sacramento_williamsburg,Yes
"I'm planning a ski vacation with my family, can you recommend a ski resort that has ski-in/ski-out accommodations, hot tubs, and family-friendly activities such as ice skating, tobogganing, and snowshoeing?",74_ice_snowmobile_rink_snow,Yes
Could you recommend some indoor activities for a staycation during the winter months?,52_brooklyn_manhattan_broadway_nyc,Yes
"Can you suggest some unique experiences that tourists can take in and around Landers, such as hiking trails, wildlife spotting, or cultural immersion programs?",79_telescope_sky_stargazing_observatory,Yes
How do you choose a destination for solo travel?,10_rome_venice_vatican_basilica,Yes
"How do you prepare for a long-distance hike, and what are some essentials to pack?",7_climber_everest_altitude_kilimanjaro,Yes
What are some effective ways to approach locals and make meaningful connections with them while traveling abroad?,60_japanese_tea_japan_tokyo,Yes
Can you recommend some budget-friendly travel destinations that offer unique cultural experiences?,7_climber_everest_altitude_kilimanjaro,Yes
What are the best hiking trails to explore in Yosemite National Park?,56_compass_kit_hike_hiking,Yes
Can you recommend any scenic bike routes in the Pacific Northwest?,37_rental_cycling_cyclist_bicycle,Yes
Can you recommend some unique roadside stops worth visiting along Route 66?,13_canyon_zion_utah_geological,Yes
